epoch_10,epoch_20,epoch_30,epoch_40,epoch_50,epoch_60,epoch_70,epoch_80,epoch_90,epoch_100
SCGB2A2_x,SCGB2A2_x,SCGB2A2_x,CLEC3A_x,CLEC3A_x,CLEC3A_x,CLEC3A_x,CLEC3A_x,CLEC3A_x,CLEC3A_x
TFF1_x,TFF1_x,CLEC3A_x,SCGB2A2_x,SCGB2A2_x,SCGB2A2_x,SCGB2A2_x,SCGB2A2_x,SCGB2A2_x,SCGB2A2_x
SCGB1D2_x,CLEC3A_x,TFF1_x,CPB1_x,CPB1_x,CPB1_x,CPB1_x,CPB1_x,CPB1_x,CPB1_x
LTF_x,CPB1_x,CPB1_x,TFF1_x,TFF1_x,TFF1_x,TFF1_x,TFF1_x,TFF1_x,TFF1_x
CPB1_x,SCGB1D2_x,PIP_x,PIP_x,PIP_x,PIP_x,PIP_x,PIP_x,PIP_x,PIP_x
PIP_x,AGR2_x,AGR2_x,AGR2_x,AGR2_x,AGR2_x,AGR2_x,CEACAM6_x,CEACAM6_x,CEACAM6_x
S100A7_x,PIP_x,SCGB1D2_x,SCGB1D2_x,SCGB1D2_x,SCGB1D2_x,SCGB1D2_x,AGR2_x,LTF_x,LTF_x
AGR2_x,LTF_x,LTF_x,LTF_x,LTF_x,LTF_x,LTF_x,LTF_x,SCGB1D2_x,AGR2_x
CEACAM6_x,S100A7_x,S100A7_x,S100A7_x,CEACAM6_x,CEACAM6_x,CEACAM6_x,SCGB1D2_x,AGR2_x,SCGB1D2_x
CLEC3A_x,CEACAM6_x,CEACAM6_x,CEACAM6_x,S100A7_x,S100A7_x,FDCSP_x,FDCSP_x,FDCSP_x,FDCSP_x
NPY1R_x,NPY1R_x,NPY1R_x,NPY1R_x,NPY1R_x,FDCSP_x,S100A7_x,S100A7_x,S100A7_x,NPY1R_x
FDCSP_x,FDCSP_x,FDCSP_x,FDCSP_x,FDCSP_x,NPY1R_x,NPY1R_x,NPY1R_x,NPY1R_x,TAT_x
CALML5_x,CALML5_x,CALML5_x,TAT_x,TAT_x,TAT_x,TAT_x,TAT_x,TAT_x,S100A7_x
S100A9_x,S100A9_x,S100A9_x,CALML5_x,SFRP1_x,SFRP1_x,SFRP1_x,CALML5_x,CALML5_x,MUCL1_x
MUCL1_x,SFRP1_x,SFRP1_x,SFRP1_x,CALML5_x,CALML5_x,CALML5_x,SFRP1_x,MUCL1_x,CLIC6_x
TFF3_x,TFF3_x,TAT_x,S100A9_x,S100A9_x,S100A9_x,S100A9_x,S100A9_x,CLIC6_x,MTRNR2L1_x
SFRP1_x,SLPI_x,TFF3_x,MUCL1_x,MUCL1_x,MUCL1_x,CLIC6_x,CLIC6_x,SFRP1_x,CALML5_x
SLPI_x,MUCL1_x,MUCL1_x,TFF3_x,TFF3_x,CLIC6_x,MUCL1_x,MUCL1_x,MTRNR2L1_x,SFRP1_x
STC2_x,STC2_x,GFRA1_x,GFRA1_x,PPP1R1B_x,TFF3_x,CYP4Z1_x,CYP4Z1_x,S100A9_x,S100A9_x
AGR3_x,GFRA1_x,SLPI_x,PPP1R1B_x,GFRA1_x,PPP1R1B_x,PPP1R1B_x,MTRNR2L1_x,CYP4Z1_x,CYP4Z1_x
KRT5_x,KRT5_x,KRT5_x,SLPI_x,SLPI_x,SLPI_x,MTRNR2L1_x,KRT14_x,KRT14_x,KRT14_x
PPP1R1B_x,AGR3_x,STC2_x,KRT5_x,KRT5_x,KRT5_x,TFF3_x,PPP1R1B_x,PPP1R1B_x,UGT2B11_x
GFRA1_x,PPP1R1B_x,AGR3_x,AGR3_x,CLIC6_x,CYP4Z1_x,SLPI_x,KRT5_x,KRT5_x,CRABP1_x
NAT1_x,CRABP1_x,PPP1R1B_x,S100A8_x,AGR3_x,GFRA1_x,KRT14_x,TFF3_x,CRABP1_x,PPP1R1B_x
CRABP1_x,S100A8_x,S100A8_x,STC2_x,S100A8_x,S100A8_x,GFRA1_x,SLPI_x,TFF3_x,KRT5_x
EEF1A2_x,TAT_x,NAT1_x,CRABP1_x,CYP4Z1_x,KRT14_x,KRT5_x,CRABP1_x,UGT2B11_x,TFF3_x
KRT14_x,NAT1_x,CRABP1_x,CLIC6_x,KRT14_x,AGR3_x,S100A8_x,GFRA1_x,SLPI_x,SLPI_x
BMPR1B_x,KRT14_x,KRT14_x,KRT14_x,CRABP1_x,CRABP1_x,CRABP1_x,UGT2B11_x,GFRA1_x,GFRA1_x
S100A8_x,GATA3_x,CLIC6_x,NAT1_x,STC2_x,MTRNR2L1_x,UGT2B11_x,S100A8_x,S100A8_x,S100A8_x
GATA3_x,EEF1A2_x,GATA3_x,CYP4Z1_x,GATA3_x,STC2_x,AGR3_x,AGR3_x,SLC7A2_x,BMPR1B_x
SLC7A2_x,BMPR1B_x,CYP4Z1_x,GATA3_x,MTRNR2L1_x,UGT2B11_x,GATA3_x,GATA3_x,AGR3_x,SLC7A2_x
SCUBE2_x,CYP4Z1_x,EEF1A2_x,BMPR1B_x,NAT1_x,GATA3_x,STC2_x,SLC7A2_x,BMPR1B_x,SERPINA6_x
TAT_x,SLC7A2_x,ESR1_x,MTRNR2L1_x,UGT2B11_x,NAT1_x,BMPR1B_x,BMPR1B_x,SERPINA6_x,S100P_x
CYP4Z1_x,CLIC6_x,BMPR1B_x,SERPINA6_x,SLC7A2_x,BMPR1B_x,SLC7A2_x,SERPINA6_x,GATA3_x,AGR3_x
FABP4_x,FABP4_x,SLC7A2_x,ESR1_x,BMPR1B_x,CXCL17_x,CXCL17_x,STC2_x,CXCL17_x,CXCL13_x
SCGB2A1_x,ESR1_x,SERPINA6_x,EEF1A2_x,CXCL17_x,SLC7A2_x,NAT1_x,CXCL17_x,CXCL13_x,PEG10_x
VTCN1_x,CXCL17_x,CXCL17_x,SLC7A2_x,ESR1_x,SERPINA6_x,SERPINA6_x,NAT1_x,PEG10_x,GATA3_x
PEG10_x,SCUBE2_x,SAA1_x,CXCL17_x,SERPINA6_x,ESR1_x,VTCN1_x,CXCL13_x,STC2_x,CXCL17_x
UGT2B11_x,SERPINA6_x,VTCN1_x,VTCN1_x,EEF1A2_x,VTCN1_x,SAA1_x,VTCN1_x,S100P_x,KRT17_x
SAA1_x,VTCN1_x,FABP4_x,SAA1_x,SAA1_x,SAA1_x,ESR1_x,ESR1_x,ESR1_x,ESR1_x
SERPINA6_x,SAA1_x,SCUBE2_x,UGT2B11_x,VTCN1_x,KRT17_x,CXCL13_x,KRT17_x,KRT17_x,STC2_x
CLIC6_x,FOXA1_x,MTRNR2L1_x,FABP4_x,KRT17_x,EEF1A2_x,KRT17_x,PEG10_x,VTCN1_x,VTCN1_x
CXCL17_x,SCGB2A1_x,UGT2B11_x,KRT17_x,FABP4_x,CXCL13_x,EEF1A2_x,SAA1_x,NAT1_x,SAA1_x
FOXA1_x,UGT2B11_x,FOXA1_x,SCUBE2_x,CXCL13_x,FABP4_x,DCD_x,S100P_x,SAA1_x,DCD_x
TFAP2B_x,PEG10_x,KRT17_x,KRT16_x,SCUBE2_x,DCD_x,FABP4_x,DCD_x,DCD_x,NAT1_x
KRT17_x,KRT16_x,SCGB2A1_x,PEG10_x,PEG10_x,PEG10_x,PEG10_x,EEF1A2_x,FABP4_x,FABP4_x
CA12_x,CA12_x,PEG10_x,CXCL13_x,DCD_x,SCUBE2_x,S100P_x,FABP4_x,EEF1A2_x,CDH1_x
KRT16_x,CHAD_x,CA12_x,FOXA1_x,KRT16_x,KLK5_x,KLK5_x,KLK5_x,CRISP3_x,CRISP3_x
ESR1_x,KRT17_x,KRT16_x,CHAD_x,GP2_x,KRT16_x,SCUBE2_x,SCUBE2_x,CDH1_x,EEF1A2_x
CHAD_x,CRISP3_x,CHAD_x,GP2_x,CHAD_x,GP2_x,GP2_x,CRISP3_x,SCUBE2_x,DHRS2_x
GABRP_x,GABRP_x,KLK5_x,KLK5_x,KLK5_x,S100P_x,KRT16_x,GP2_x,TFAP2B_x,KLK5_x
S100P_x,KLK5_x,CXCL13_x,CA12_x,FOXA1_x,CHAD_x,ERBB2_x,TFAP2B_x,KLK5_x,CP_x
MAOB_x,SUSD3_x,CRISP3_x,SCGB2A1_x,S100P_x,ERBB2_x,TFAP2B_x,CP_x,CP_x,TCN1_x
WFDC2_x,MTRNR2L1_x,GP2_x,CRISP3_x,CA12_x,FOXA1_x,CRISP3_x,CDH1_x,DHRS2_x,TFAP2B_x
CRISP3_x,GP2_x,SUSD3_x,SLITRK6_x,ERBB2_x,TFAP2B_x,CHAD_x,ERBB2_x,GP2_x,SCUBE2_x
MMP1_x,TFAP2B_x,GABRP_x,SUSD3_x,SLITRK6_x,SLITRK6_x,FOXA1_x,KRT16_x,IGLL5_x,IGLL5_x
CP_x,SLITRK6_x,SLITRK6_x,S100P_x,SCGB2A1_x,CA12_x,CP_x,MAOB_x,KRT16_x,SLITRK6_x
SLITRK6_x,CXCL13_x,TFAP2B_x,CP_x,CRISP3_x,CRISP3_x,SLITRK6_x,CHAD_x,SLITRK6_x,GP2_x
SUSD3_x,MMP1_x,MMP1_x,GABRP_x,TFAP2B_x,CP_x,MAOB_x,SLITRK6_x,TCN1_x,WFDC2_x
CXCL13_x,CP_x,CP_x,DCD_x,SUSD3_x,MAOB_x,IGLL5_x,FOXA1_x,MAOB_x,MAOB_x
JCHAIN_x,WFDC2_x,CCL19_x,TFAP2B_x,CP_x,IGLL5_x,CA12_x,IGLL5_x,ALOX15B_x,ALOX15B_x
GP2_x,CCL19_x,WFDC2_x,CCL19_x,MAOB_x,SCGB2A1_x,SUSD3_x,TCN1_x,ERBB2_x,ERBB2_x
CXCL14_x,JCHAIN_x,S100P_x,ERBB2_x,IGLL5_x,SUSD3_x,ALOX15B_x,DHRS2_x,FOXA1_x,KRT16_x
MTRNR2L1_x,S100P_x,KCNJ3_x,WFDC2_x,KCNJ3_x,KCNJ3_x,SCGB2A1_x,ALOX15B_x,CHAD_x,KCNJ3_x
PROM1_x,MAOB_x,MAOB_x,KCNJ3_x,GABRP_x,WFDC2_x,TCN1_x,SUSD3_x,KCNJ3_x,HMGCS2_x
KLK5_x,KCNJ3_x,DCD_x,MAOB_x,CCL19_x,ALOX15B_x,DHRS2_x,CA12_x,SUSD3_x,FOXA1_x
CEACAM5_x,SLC44A4_x,S100A1_x,MMP1_x,WFDC2_x,GABRP_x,KCNJ3_x,WFDC2_x,WFDC2_x,SUSD3_x
KRT81_x,S100A1_x,SLC44A4_x,S100A1_x,ALOX15B_x,MMP1_x,CDH1_x,KCNJ3_x,CA12_x,CHAD_x
CCL19_x,PROM1_x,IGLL5_x,IGLL5_x,KRT81_x,DHRS2_x,WFDC2_x,SCGB2A1_x,SCGB2A1_x,KRT6B_x
DHRS2_x,IGLL5_x,DHRS2_x,DNALI1_x,MMP1_x,CCL19_x,CCL19_x,KRT6B_x,KRT6B_x,SCGB2A1_x
KCNJ3_x,AQP5_x,HMGCS2_x,SLC44A4_x,DNALI1_x,TCN1_x,MMP1_x,HMGCS2_x,HMGCS2_x,CA12_x
KRT15_x,DCD_x,PROM1_x,DHRS2_x,S100A1_x,DNALI1_x,KRT6B_x,MMP1_x,GSTM1_x,SHISA2_x
IGLL5_x,DHRS2_x,KRT81_x,KRT81_x,DHRS2_x,KRT81_x,GABRP_x,CCL19_x,MMP1_x,MMP1_x
DCD_x,CXCL14_x,AQP5_x,ALOX15B_x,SLC44A4_x,SLC44A4_x,DNALI1_x,GABRP_x,GABRP_x,GABRP_x
AQP5_x,HMGCS2_x,JCHAIN_x,AQP5_x,PRAME_x,S100A1_x,HMGCS2_x,GSTM1_x,SLC1A1_x,SLC1A1_x
SLC44A4_x,CEACAM5_x,DNALI1_x,HMGCS2_x,OBP2B_x,PRAME_x,SLC1A1_x,DNALI1_x,CCL19_x,KRT15_x
KRT6B_x,KRT15_x,ALOX15B_x,PROM1_x,KRT6B_x,SLC1A1_x,KRT81_x,SLC1A1_x,CST9_x,CST9_x
S100A1_x,KRT81_x,SPDEF_x,OBP2B_x,AQP5_x,GSTM1_x,GSTM1_x,KRT81_x,SHISA2_x,CCL19_x
NKAIN1_x,ALOX15B_x,OBP2B_x,JCHAIN_x,SLC1A1_x,OBP2B_x,SLC44A4_x,CST9_x,DNALI1_x,JCHAIN_x
HMGCS2_x,KRT6B_x,SLC39A6_x,KRT6B_x,TCN1_x,KRT6B_x,S100A1_x,SLC44A4_x,SLC44A4_x,IGFBP2_x
BEX1_x,SPDEF_x,CEACAM5_x,PRAME_x,JCHAIN_x,JCHAIN_x,JCHAIN_x,OBP2B_x,OBP2B_x,GSTM1_x
ALOX15B_x,SLC39A6_x,KRT6B_x,SLC1A1_x,HMGCS2_x,HMGCS2_x,PRAME_x,JCHAIN_x,KRT15_x,APOD_x
SPDEF_x,NKAIN1_x,ERBB2_x,SPDEF_x,PROM1_x,AQP5_x,OBP2B_x,HLA-DQA2_x,CEACAM5_x,CEACAM5_x
SHISA2_x,OBP2B_x,CXCL14_x,CEACAM5_x,HLA-DQA2_x,CST9_x,HLA-DQA2_x,SHISA2_x,KRT81_x,SLC44A4_x
CLSTN2_x,CLSTN2_x,KRT15_x,SLC39A6_x,GSTM1_x,HLA-DQA2_x,CST9_x,S100A1_x,HLA-DQA2_x,DNALI1_x
GSTM1_x,DNALI1_x,NKAIN1_x,SHISA2_x,CEACAM5_x,CDH1_x,CEACAM5_x,OLFM4_x,APOD_x,OBP2B_x
SLC39A6_x,CACNG4_x,PRAME_x,TCN1_x,CST9_x,PROM1_x,AQP5_x,PRAME_x,JCHAIN_x,KRT81_x
OBP2B_x,MMP7_x,CHI3L1_x,CST9_x,SLC39A6_x,CEACAM5_x,OLFM4_x,CEACAM5_x,OLFM4_x,CST1_x
MGP_x,APOD_x,CLSTN2_x,HLA-DQA2_x,SHISA2_x,OLFM4_x,SHISA2_x,APOD_x,PRAME_x,HLA-DQA2_x
CACNG4_x,CHI3L1_x,SHISA2_x,OLFM4_x,MMP7_x,MMP7_x,PROM1_x,AQP5_x,LCN2_x,IGFBP5_x
COL2A1_x,SHISA2_x,SLC1A1_x,CXCL14_x,OLFM4_x,CST1_x,SPP1_x,SPP1_x,S100A1_x,AREG_x
TCN1_x,ASPN_x,MMP7_x,MMP7_x,CST1_x,SLC39A6_x,APOD_x,KRT15_x,CST1_x,LCN2_x
CARTPT_x,KRT7_x,TCN1_x,NKAIN1_x,SPDEF_x,SHISA2_x,KRT15_x,CST1_x,BEX1_x,S100A1_x
CLCA2_x,PRAME_x,CACNG4_x,GSTM1_x,CXCL14_x,CXCL14_x,SLC39A6_x,PROM1_x,SLC39A6_x,OLFM4_x
KRT7_x,TCN1_x,APOD_x,KRT15_x,SPP1_x,SPP1_x,MMP7_x,LCN2_x,IGFBP2_x,AQP5_x
CHI3L1_x,PDZK1IP1_x,THRSP_x,CLSTN2_x,THRSP_x,APOD_x,CXCL14_x,SLC39A6_x,SPP1_x,PRAME_x
ELF5_x,ELF5_x,ASPN_x,SPP1_x,APOD_x,SPDEF_x,LCN2_x,CXCL14_x,AQP5_x,BEX1_x
APOD_x,STAC2_x,OLFM4_x,THRSP_x,NKAIN1_x,KRT15_x,CST1_x,MMP7_x,IGFBP5_x,SPP1_x
C19orf33_x,SPP1_x,PGR_x,CHI3L1_x,MSMB_x,CACNG4_x,CACNG4_x,IGFBP5_x,PROM1_x,CXCL14_x
AZGP1_x,GSTM1_x,GSTM1_x,APOD_x,KRT15_x,THRSP_x,MSMB_x,MSMB_x,AREG_x,CACNG4_x
